"","name","rating","room_price","Amenitie","Address","post_link"
"1","OYO 9849 Hotel Divine Residency","4.5","₹4018","AC,TV,Free Wifi,Geyser,Parking Facility,Coffee/Tea Maker","Near Chirag Nagar Police Station, LBS Marg, Mumbai","https://www.oyorooms.com/15969/"
"2","Capital O 62560 Hotel Zaid International","4.1","₹3909","AC,TV,Free Wifi,Kitchen,Geyser,Parking Facility","Near Huntsman Building, Marol, Mumbai","https://www.oyorooms.com/84220/"
"3","OYO 27640 Hotel Blue Sapphire Residency","3.7","₹2078","AC,TV,Free Wifi,Geyser,Card Payment,CCTV Cameras","Near The Crescent Business Park, Sakinaka, Mumbai","https://www.oyorooms.com/48325/"
"4","OYO 5665 Rana Residency","2.9","₹2083","AC,TV,Free Wifi,Kitchen,Geyser,Parking Facility","Tolany Naka, Sher-e-Punjab Colony, Mumbai","https://www.oyorooms.com/9473/"
"5","OYO Townhouse 058 JB Nagar, Andheri East","3.9","₹4542","Free Wifi,AC,TV,Parking Facility,Card Payment,CCTV Cameras","Near Bombay Cambridge School, Andheri East, Mumbai","https://www.oyorooms.com/106711/"
"6","OYO 65661 Hotel Emerald Inn ","3.5","₹1310","WiFi,AC,TV","Near Sakinaka metro station, Asalfa, Mumbai","https://www.oyorooms.com/89003/"
"7","OYO 19156 Hotel Greenforest","3.6","₹2225","AC,TV,Free Wifi,Queen Sized Bed,Geyser,Parking Facility","Near Axis Bank, Customs Colony, Mumbai","https://www.oyorooms.com/42241/"
"8","OYO 30693 Hotel Blue Executive","3.7","₹1587","WiFi,Queen Sized Bed,AC,TV","On main street, Near Saki Vihar complex, Sakinaka,Mumbai","https://www.oyorooms.com/52391/"
"9","OYO 16446 Hotel Veera Residency","3.3","₹2107","AC,TV,Free Wifi,Kitchen,Queen Sized Bed,Geyser","Near Hanuman Nagar, Andheri East, Mumbai","https://www.oyorooms.com/39303/"
"10","OYO 78659 Collection O Hotel Jayshree Domestic Airport","3.2","₹2263","Free Wifi,AC,TV,Power backup,Elevator,In-house Restaurant","Mumbai, Mumbai","https://www.oyorooms.com/109974/"
"11","OYO 8181 Druv's Taj Palace","3.0","₹1712","AC,TV,Free Wifi,Kitchen,In-house Restaurant,Card Payment","Near Asalpha Metro Station, Dhumai Estate, Mumbai","https://www.oyorooms.com/13537/"
"12","OYO 76846 Hotel Manas Residency","2.8","₹1869","Free Wifi,AC,TV,Card Payment,CCTV Cameras,Reception","Chembur East, Mumbai","https://www.oyorooms.com/107804/"
"13","Townhouse 809 Royal Palms Hotel - Rose Collection","2.5","₹2216","AC,TV,Free Wifi,King Sized Bed,Mini Fridge,Power backup","Near Aarey Colony, Goregaon, Mumbai","https://www.oyorooms.com/62048/"
"14","OYO Townhouse 781 Royal Palms Hotel","2.4","₹2005","AC,TV,Free Wifi,King Sized Bed,Power backup,Geyser","On main street, Near Aarey Colony, Goregaon East, Mumbai","https://www.oyorooms.com/50092/"
"15","OYO 5352 Hotel Airport Metro","3.1","₹1912","AC,TV,Free Wifi,Kitchen,Mini Fridge,Geyser","Andheri East, Mumbai","https://www.oyorooms.com/8914/"
"16","Townhouse 878 The Unicontinental2","2.9","₹4523","Window,AC,Free Wifi,Kitchen,TV,Power backup","9A Rajkutir, 3rd Road,next to Doolally Taproom,next to Khar railway station, Khar West","https://www.oyorooms.com/173035/"
"17","Capital O 71247 Jk Regency","3.0","₹1770","Free Wifi,Kitchen,AC,TV,Parking Facility,Card Payment","Near Pump House Subway, Andheri East, Mumbai","https://www.oyorooms.com/99089/"
"18","OYO 64671 Royal Aqua","3.2","₹2028","AC,TV,Free Wifi,Geyser,Card Payment,CCTV Cameras","On main street, Near Yamaha Showroom, Andheri East, Mumbai","https://www.oyorooms.com/87634/"
"19","OYO 3769 Blue Pearl Residency","2.6","₹1810","AC,TV,Free Wifi,Kitchen,Queen Sized Bed,Geyser","On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai","https://www.oyorooms.com/5842/"
"20","OYO 14056 Golden Arch","3.1","₹2148","AC,TV,Free Wifi,Geyser,Card Payment,CCTV Cameras","Near Vakola Police station, Santa Cruz East, Mumbai","https://www.oyorooms.com/36230/"
